,City,Country,Date,Temperature,Humidity,Wind Speed
75,Andorra la Vella,Andorra,2023-02-27 03:00:00,-7.04,91,4.19
76,Andorra la Vella,Andorra,2023-02-27 06:00:00,-8.69,90,4.18
77,Andorra la Vella,Andorra,2023-02-27 09:00:00,-3.66,70,3.69
78,Andorra la Vella,Andorra,2023-02-27 12:00:00,0.17,55,2.87
79,Andorra la Vella,Andorra,2023-02-27 15:00:00,-0.7,64,3.5
80,Vienna,Austria,2023-02-22 18:00:00,12.21,64,2.4
81,Vienna,Austria,2023-02-22 21:00:00,11.37,68,2.14
82,Vienna,Austria,2023-02-23 00:00:00,9.96,76,2.6
83,Vienna,Austria,2023-02-23 03:00:00,8.1,86,2.74
84,Vienna,Austria,2023-02-23 06:00:00,7.48,86,2.44
85,Vienna,Austria,2023-02-23 09:00:00,9.52,76,3.64
86,Vienna,Austria,2023-02-23 12:00:00,11.51,66,3.8
87,Vienna,Austria,2023-02-23 15:00:00,10.56,72,4.15
88,Vienna,Austria,2023-02-23 18:00:00,8.95,77,3.04
89,Vienna,Austria,2023-02-23 21:00:00,8.66,81,1.47
90,Vienna,Austria,2023-02-24 00:00:00,9.14,82,2.02
91,Vienna,Austria,2023-02-24 03:00:00,9.12,83,2.68
92,Vienna,Austria,2023-02-24 06:00:00,9.41,75,2.44
93,Vienna,Austria,2023-02-24 09:00:00,11.32,65,1.47
94,Vienna,Austria,2023-02-24 12:00:00,13.85,52,2.66
95,Vienna,Austria,2023-02-24 15:00:00,13.97,51,0.97
96,Vienna,Austria,2023-02-24 18:00:00,11.23,62,1.43
97,Vienna,Austria,2023-02-24 21:00:00,9.62,72,3.22
98,Vienna,Austria,2023-02-25 00:00:00,8.36,81,5.06
99,Vienna,Austria,2023-02-25 03:00:00,5.97,80,6.84
100,Vienna,Austria,2023-02-25 06:00:00,5.02,73,6.03
101,Vienna,Austria,2023-02-25 09:00:00,6.05,55,6.55
102,Vienna,Austria,2023-02-25 12:00:00,7.06,44,7.29
